Country ,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
IBRD only,IBD,9317.682587,10083.15585,10706.13267,11318.72336,11931.44242,12408.75818,13026.66217,13860.35428,14749.82774
IDA & IBRD total,IBT,7792.375405,8389.37862,8878.292225,9365.684624,9851.757594,10217.63376,10681.30052,11319.9769,12003.29627
IDA total,IDA,2911.526915,3033.713738,3168.779613,3340.854326,3517.016288,3627.906511,3715.755037,3871.705107,4059.557395
IDA blend,IDB,4193.168822,4376.973084,4552.136563,4782.654423,5029.338542,5172.738392,5232.508828,5384.441433,5614.24668
Indonesia,IDN,8284.501294,8859.139998,9444.948401,10009.66548,10570.19504,11063.06221,11604.52525,12279.18328,13079.6193
IDA only,IDX,2242.841627,2331.347781,2444.9445,2585.757341,2723.947516,2817.383172,2921.947122,3082.516503,3249.854407
India,IND,4360.15405,4624.561404,4909.584076,5252.272397,5682.731285,6133.887015,6634.844574,7168.992484,7762.88177
Ireland,IRL,43295.01791,44855.3247,46256.56888,47897.29166,51067.97671,69056.04604,70522.22592,77596.35505,83203.39468
Iraq,IRQ,12884.90384,13693.97637,15320.88647,16133.56524,15950.19629,15981.31509,18085.87647,17519.05422,17435.85393
Iceland,ISL,39576.97124,40767.23641,41926.34194,44157.55246,45714.89381,48728.09936,52582.29385,55322.09013,57303.06078
Israel,ISR,28861.93991,30539.96337,31693.91787,34145.7126,34212.94449,35436.81087,37463.19908,38866.1107,39919.16965
Italy,ITA,35155.66806,36598.01497,36486.29679,36314.6971,36194.87392,36909.32837,39178.4,41200.02872,41830.42633
Jamaica,JAM,7853.974864,8112.12923,8170.129002,8306.755236,8473.743427,8595.88659,8763.300248,8974.33982,9326.664059
Jordan,JOR,9306.488797,9235.879132,9151.732473,9093.010015,9123.978709,9089.006864,9092.954278,9241.513754,9478.904588
Japan,JPN,34986.99454,35774.69671,37191.38595,38974.07949,39179.15561,40396.24321,41118.07804,41958.96216,42797.45852
Kazakhstan,KAZ,19685.35171,21276.93402,22407.98331,23823.88613,24924.37021,25123.31799,25314.86554,26490.84377,27879.75195
Kenya,KEN,2385.992645,2515.927471,2610.737996,2740.02864,2867.10191,2988.073282,3121.830489,3258.154499,3467.556478
Kyrgyz Republic,KGZ,2733.079268,2920.60321,2921.603783,3232.128754,3356.983448,3453.360746,3567.812684,3733.606138,3884.708809
Cambodia,KHM,2470.704155,2658.062552,2860.146734,3073.318143,3300.61675,3513.82356,3742.958793,4019.679985,4360.854404
Kiribati,KIR,1716.059227,1749.233461,1837.991938,1921.614459,1917.627413,2110.117273,2210.850719,2227.920995,2293.920333
St. Kitts and Nevis,KNA,24033.32038,24766.19605,24461.13248,25999.0328,27910.15016,28261.41206,29137.82185,28869.68919,30207.79021
"Korea, Rep.",KOR,30365.27837,31228.5107,32097.164,32615.77259,33587.5834,35760.73444,37142.8329,38824.11539,40111.77576
Kuwait,KWT,73817.97698,78021.67168,80209.81453,78399.24717,76703.31167,75042.14197,75689.27575,71695.56421,72897.56235
Latin America & Caribbean (excluding high income),LAC,13046.65768,13886.95022,14365.85395,14840.89465,15156.88574,15155.39686,15156.15439,15604.96578,16017.99609
Lao PDR,LAO,4130.547187,4485.181127,4863.791732,5267.284644,5689.82855,6075.952799,6473.243696,6942.238417,7439.59936
Lebanon,LBN,14111.19139,13841.53501,13610.88835,13309.01995,13049.03296,12695.41014,12693.56418,12813.86955,13081.10746
Liberia,LBR,1078.946046,1154.40937,1234.280819,1329.049283,1328.913111,1309.269565,1269.886223,1293.415934,1308.629536
Libya,LBY,28890.36545,11096.15636,25080.96838,21929.50351,16870.48513,15403.57322,14964.52288,19056.8043,20764.16414
St. Lucia,LCA,11428.51171,12049.20936,12168.57838,12078.36362,12416.87345,12520.76322,12990.80775,13505.45477,13881.37213
Latin America & Caribbean,LCN,13438.05948,14320.89745,14831.73181,15329.58656,15654.73684,15661.93512,15674.98005,16156.20469,16590.22225
Least developed countries: UN classification,LDC,2145.354881,2221.762326,2325.893618,2448.865945,2572.910826,2650.399936,2728.232875,2857.675589,2995.447758
Low income,LIC,1729.033452,1774.898389,1833.558538,1932.019348,2029.215229,2057.381785,2095.551678,2184.874577,2287.806888
Sri Lanka,LKA,8328.90662,9155.658792,10171.42447,10618.20208,11250.30924,11830.69575,12359.34586,12878.58867,13473.66309
Lower middle income,LMC,4838.153864,5104.081459,5386.547403,5704.051442,6056.980528,6385.857221,6741.405472,7166.048595,7655.137875
Low & middle income,LMY,7629.587182,8213.142226,8696.664871,9179.875805,9664.154347,10026.31459,10488.83226,11115.41974,11793.53738
Lesotho,LSO,2378.563578,2578.639634,2767.67561,2857.768834,2972.012946,3062.068836,3170.578608,3132.495534,3219.457157
Late-demographic dividend,LTE,11537.75018,12702.98415,13621.59315,14497.9114,15330.12418,15955.48804,16689.0103,17812.90106,19073.35995
Lithuania,LTU,20039.01002,22823.91839,24645.56909,26680.03416,28156.13581,28823.81289,30334.19087,33314.74037,35461.3591
Luxembourg,LUX,85613.58661,92005.01684,91622.17742,95590.5387,101297.5757,103750.7751,108165.7614,110589.1924,113337.4205
Latvia,LVA,17587.34596,19789.4764,21291.1197,22692.85344,23844.22612,24830.93429,25875.98735,28115.34769,30304.8525
"Macao SAR, China",MAC,95951.96228,116456.9567,126618.3727,139962.1749,137832.9615,107069.5956,105577.6662,116370.7403,123892.1664
Morocco,MAR,6324.152955,6703.876831,6940.434737,7278.362142,7507.240831,7822.968048,7885.837651,8267.345841,8611.709833
Moldova,MDA,4637.516516,5012.742008,5079.416347,5637.502408,6035.022647,6082.841894,6424.371154,6858.891958,7271.641919
Madagascar,MDG,1583.036118,1596.89409,1631.312329,1652.671039,1693.795099,1718.597532,1758.845163,1813.515493,1891.320668
Maldives,MDV,11720.52813,12486.44691,12496.42826,13039.04792,13622.88572,13546.05023,13931.36278,14523.99637,15307.72194
Middle East & North Africa,MEA,16559.28134,17079.95723,17691.54663,18110.99083,18585.6686,18877.15572,19756.56365,20096.90388,20712.43251
Mexico,MEX,15260.62055,16520.25851,17162.92752,17373.89702,18045.98446,18284.88284,18783.16158,19423.92769,19844.64567
